BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Practice-ish Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/23/2016 14:43:38:752 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],population,communication?,R,loop-num,J-per-microL,nectar-influx,hive-collected,mL,nectar(mL)/bee,imported,exported,timer-post-setup,timer,resources,untouched resources,found resources,found/all,depleted resources,depleted/found,max [dist-hive-max] of turtles
23,"""sparse""","""0.4""",FALSE,500,3,-750,750,-750,750,2400,500,FALSE,0.408967718,4,5.819,0.03099689,37180.77,6389.546314,12.77909263,TRUE,FALSE,200.365,1985.864,99,90,9,0.090909091,1,0.111111111,569.5789594
24,"""sparse""","""0.4""",FALSE,500,4,-750,750,-750,750,2400,500,FALSE,0.41249968,5,5.819,0.150397766,180402.12,31002.25468,62.00450937,TRUE,FALSE,200.405,1908.618,119,109,10,0.084033613,2,0.2,751.7462275
25,"""sparse""","""0.4""",FALSE,500,5,-750,750,-750,750,2400,500,FALSE,0.419442849,16,5.819,0.1119403,134272.39,23074.82213,46.14964427,TRUE,FALSE,184.217,1994.649,93,81,12,0.129032258,4,0.333333333,688.1337292
26,"""sparse""","""0.4""",FALSE,500,6,-750,750,-750,750,2400,500,FALSE,0.42326614,2,5.819,0.124656015,149524.89,25695.97697,51.39195394,TRUE,FALSE,189.112,2008.118,108,92,16,0.148148148,4,0.25,831.9683413
27,"""sparse""","""0.4""",FALSE,500,7,-750,750,-750,750,2400,500,FALSE,0.424580781,20,5.819,0.119105536,142867.09,24551.82849,49.10365699,TRUE,FALSE,205.417,1920.324,112,96,16,0.142857143,3,0.1875,764.8158611
28,"""sparse""","""0.4""",FALSE,500,8,-750,750,-750,750,2400,500,FALSE,0.406597014,17,5.819,0.117422334,140848.09,24204.86166,48.40972332,TRUE,FALSE,207.083,2002.999,110,101,9,0.081818182,4,0.444444444,604.3461368
29,"""sparse""","""0.4""",FALSE,500,9,-750,750,-750,750,2400,500,FALSE,0.379322691,16,5.819,0.028671246,34391.16,5910.14951,11.82029902,TRUE,FALSE,184.823,1997.955,94,86,8,0.085106383,1,0.125,753.8435124
30,"""sparse""","""0.4""",FALSE,500,10,-750,750,-750,750,2400,500,FALSE,0.394853905,1,5.819,2.217771055,2660216.38,457160.4021,914.3208043,TRUE,FALSE,194.325,2015.77,102,90,12,0.117647059,8,0.666666667,797.9625184
31,"""sparse""","""0.4""",FALSE,3000,1,-750,750,-750,750,2400,3000,FALSE,0.404950728,2,5.819,0.189696054,1365242.5,234618.0615,78.20602051,TRUE,FALSE,205.834,1919.116,95,64,31,0.326315789,18,0.580645161,861.4346531
32,"""sparse""","""0.4""",FALSE,3000,2,-750,750,-750,750,2400,3000,FALSE,0.419077036,19,5.819,0.027098602,195028.64,33515.83434,11.17194478,TRUE,FALSE,197.2,2000.235,103,73,30,0.291262136,3,0.1,922.922866
