BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/05/2016 14:38:27:510 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,
-50,50,-50,50,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,environment,communication?,population,repetitions,R,loop-num,nectar-influx,hive-collected,energy.bee,imported,exported,timer-post-setup,timer,resources,resources.untouched,resources.found,resources.depleted,max [dist-hive-max] of turtles,foraged.trips,dance-quality,dance-quantity,dance.avg,random-quality,random-quantity,random.avg
25,"""dense""","""0.4""",,FALSE,500,5,0.423501032,1,9.863844444,1.18E+07,23663.36,TRUE,FALSE,205.435,2016.475,3186,3098,88,27,355.3055006,2115,0,0,0.00,1670391.22,223,7490.54
26,"""dense""","""0.4""",,FALSE,500,6,0.411615206,1,26.10908138,3.13E+07,62635.69,TRUE,FALSE,205.59,2017.738,3256,3156,100,26,663.6823248,2356,0,0,0.00,3860728.64,301,12826.34
27,"""dense""","""0.4""",,FALSE,500,7,0.413504289,2,20.36110495,2.44E+07,48846.29,TRUE,FALSE,216.024,2044.979,3111,3021,90,21,734.1386581,2038,0,0,0.00,2630051,219,12009.37
28,"""dense""","""0.4""",,FALSE,500,8,0.402717704,1,16.42506744,1.97E+07,39403.74,TRUE,FALSE,216.987,2048.943,3178,3087,91,32,270.742728,2551,0,0,0.00,1908281.88,280,6815.29
29,"""dense""","""0.4""",,FALSE,500,9,0.38782143,1,15.97215963,1.92E+07,38317.21,TRUE,FALSE,215.284,2018.76,3241,3148,93,29,365.5107348,2363,0,0,0.00,2158598.62,270,7994.81
30,"""dense""","""0.4""",,FALSE,500,10,0.427627188,1,8.801081942,1.06E+07,21113.80,TRUE,FALSE,215.614,2017.75,3135,3035,100,31,324.0524649,2455,0,0,0.00,1060373.48,255,4158.33
31,"""dense""","""0.4""",,FALSE,3000,1,0.394773219,1,30.68572547,2.21E+08,73615.06,TRUE,FALSE,207.119,2070.757,3192,2897,295,115,520.2772523,8626,0,0,0.00,3.93E+07,1558,25232.64
32,"""dense""","""0.4""",,FALSE,3000,2,0.377378749,1,6.609952746,4.76E+07,15857.28,TRUE,FALSE,207.406,2066.577,3333,3060,273,118,429.1444978,7996,0,0,0.00,7522560.15,1494,5035.18
33,"""dense""","""0.4""",,FALSE,3000,3,0.412286925,1,22.27666433,1.60E+08,53441.72,TRUE,FALSE,208.94,2058.067,3093,2793,300,136,493.0399217,8969,0,0,0.00,2.77E+07,1842,15065.01
34,"""dense""","""0.4""",,FALSE,3000,4,0.397419171,1,43.2958215,3.12E+08,103866.68,TRUE,FALSE,209.66,2057.225,3182,2880,302,146,450.2079716,9408,0,0,0.00,6.14E+07,2011,30515.22
