BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/10/2016 16:26:46:161 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,save_map,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],R,loop-num,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,count patches with [resource?],count patches with [resource? and quantity = 50],count patches with [resource? and quantity != 50],count patches with [resource? and quantity = 0],max [dist-hive-max] of turtles,foraged-count,dance-quality,dance-quantity,random-quality,random-quantity
25,"""dense""","""0.4""",FALSE,500,5,TRUE,-750,750,-750,750,2400,0.411816556,1,0.374115823,448751.93,TRUE,FALSE,223.969,2114.02,3216,3114,102,35,374.7012143,2666,0,0,54466.17,320
26,"""dense""","""0.4""",FALSE,500,6,TRUE,-750,750,-750,750,2400,0.405310694,1,0.32938491,395097.2,TRUE,FALSE,231.031,2129.559,3234,3140,94,26,352.7092427,2482,0,0,42449.48,267
27,"""dense""","""0.4""",FALSE,500,7,TRUE,-750,750,-750,750,2400,0.413780185,1,0.326864227,392073.64,TRUE,FALSE,221.38,2125.292,3221,3114,107,28,412.7569926,2551,0,0,39086.38,246
28,"""dense""","""0.4""",FALSE,500,8,TRUE,-750,750,-750,750,2400,0.410875123,1,0.330974823,397004.3,TRUE,FALSE,216.396,2132.851,3251,3158,93,31,461.7741766,2464,0,0,46453.46,281
29,"""dense""","""0.4""",FALSE,500,9,TRUE,-750,750,-750,750,2400,0.396715227,1,0.310849145,372863.55,TRUE,FALSE,220.882,2108.664,3264,3175,89,27,357.9202966,2376,0,0,41378.86,264
30,"""dense""","""0.4""",FALSE,500,10,TRUE,-750,750,-750,750,2400,0.405741352,1,0.2588602,310502.81,TRUE,FALSE,215.786,2117.772,3336,3242,94,25,376.2884532,2332,0,0,34454.47,254
31,"""dense""","""0.4""",FALSE,3000,1,TRUE,-750,750,-750,750,2400,0.423857529,1,0.190351641,1369960.76,TRUE,FALSE,215.568,2164.663,3136,2820,316,143,485.1772872,9312,0,0,281524.01,1936
32,"""dense""","""0.4""",FALSE,3000,2,TRUE,-750,750,-750,750,2400,0.401210063,1,0.173983749,1252161.04,TRUE,FALSE,214.622,2175.771,3205,2896,309,133,452.2429062,8798,0,0,249718.22,1832
33,"""dense""","""0.4""",FALSE,3000,3,TRUE,-750,750,-750,750,2400,0.407741475,1,0.19318432,1390347.55,TRUE,FALSE,222.795,2145.208,3242,2926,316,126,510.5467657,8817,0,0,266469.81,1723
34,"""dense""","""0.4""",FALSE,3000,4,TRUE,-750,750,-750,750,2400,0.391655871,1,0.193309318,1391247.16,TRUE,FALSE,217.853,2145.771,3103,2806,297,130,495.1195768,8760,0,0,291341.2,1909
35,"""dense""","""0.4""",FALSE,3000,5,TRUE,-750,750,-750,750,2400,0.411816556,1,0.202601442,1458122.58,TRUE,FALSE,218.043,2186.346,3216,2907,309,139,644.1103848,8964,0,0,305259.76,1837
36,"""dense""","""0.4""",FALSE,3000,6,TRUE,-750,750,-750,750,2400,0.405310694,1,0.219165933,1577337.22,TRUE,FALSE,215.659,2190.127,3234,2912,322,159,454.9938089,9954,0,0,338921.37,2117
37,"""dense""","""0.4""",FALSE,3000,7,TRUE,-750,750,-750,750,2400,0.413780185,1,0.178509958,1284736.17,TRUE,FALSE,228.268,2166.319,3221,2902,319,139,452.6748689,9344,0,0,257426.92,1826
38,"""dense""","""0.4""",FALSE,3000,8,TRUE,-750,750,-750,750,2400,0.410875123,1,0.185406935,1334373.71,TRUE,FALSE,223.839,2161.938,3251,2926,325,146,480.4730833,9554,0,0,271555.7,1929
39,"""dense""","""0.4""",FALSE,3000,9,TRUE,-750,750,-750,750,2400,0.396715227,1,0.215882361,1553705.35,TRUE,FALSE,218.408,2099.622,3264,2942,322,139,516.5428477,9490,0,0,307272.73,1892
40,"""dense""","""0.4""",FALSE,3000,10,TRUE,-750,750,-750,750,2400,0.405741352,1,0.17928928,1290344.95,TRUE,FALSE,217.339,2083.615,3336,3035,301,123,464.0172411,8739,0,0,240675.19,1616
41,"""dense""","""0.6""",TRUE,500,1,TRUE,-750,750,-750,750,2400,0.580419766,1,0.424587203,509292.35,FALSE,TRUE,49.915,1446.619,3258,3112,146,49,334.0733452,3642,447360.49,3160,57462.88,443
42,"""dense""","""0.6""",TRUE,500,2,TRUE,-750,750,-750,750,2400,0.594636274,1,0.388968095,466567.23,FALSE,TRUE,50.928,1446.275,3188,3060,128,44,346.5501407,3218,404210.76,2756,61826.76,435
43,"""dense""","""0.6""",TRUE,500,3,TRUE,-750,750,-750,750,2400,0.609784032,1,0.452902476,543256.52,FALSE,TRUE,53.072,1480.061,3215,3053,162,44,384.8129416,3642,475692.06,3142,74023.58,475
44,"""dense""","""0.6""",TRUE,500,4,TRUE,-750,750,-750,750,2400,0.599760979,2,0.418813122,502366.34,FALSE,TRUE,84.356,1514.55,3315,3165,150,47,437.6551088,3755,440777.92,3277,71858.96,536
45,"""dense""","""0.6""",TRUE,500,5,TRUE,-750,750,-750,750,2400,0.61318091,1,0.483562701,580033.46,FALSE,TRUE,49.679,1447.827,3285,3123,162,59,359.2923537,4066,517013.43,3611,86173.7,678
46,"""dense""","""0.6""",TRUE,500,6,TRUE,-750,750,-750,750,2400,0.619408407,1,0.472138558,566330.2,FALSE,TRUE,50.644,1447.008,3107,2969,138,56,390.8191432,3952,499079.83,3469,69886.56,514
47,"""dense""","""0.6""",TRUE,500,7,TRUE,-750,750,-750,750,2400,0.620689117,1,0.469867061,563605.54,FALSE,TRUE,54.167,1474.415,3195,3038,157,42,321.3567681,3536,495377.73,3073,66540.34,445
48,"""dense""","""0.6""",TRUE,500,8,TRUE,-750,750,-750,750,2400,0.598523414,1,0.439617557,527321.26,FALSE,TRUE,53.112,1505.718,3256,3119,137,55,313.0015974,3641,467943.81,3195,73354.64,523
49,"""dense""","""0.6""",TRUE,500,9,TRUE,-750,750,-750,750,2400,0.59960636,1,0.462470704,554733.61,FALSE,TRUE,49.609,1524.807,3197,3049,148,50,363.6612924,3634,483508.77,3173,78615.08,524
50,"""dense""","""0.6""",TRUE,500,10,TRUE,-750,750,-750,750,2400,0.615829469,1,0.450090955,539884.1,FALSE,TRUE,50.941,1529.494,3172,3029,143,51,358.987465,3453,475327.89,2990,74372.98,507
51,"""dense""","""0.6""",TRUE,3000,1,TRUE,-750,750,-750,750,2400,0.580419766,1,0.283574634,2040886.64,TRUE,FALSE,213.357,2223.038,3258,2771,487,230,595.4237128,14207,1713008.19,11808,518218.4,3814
52,"""dense""","""0.6""",TRUE,3000,2,TRUE,-750,750,-750,750,2400,0.594636274,1,0.263866457,1899046.89,TRUE,FALSE,219.856,2232.26,3188,2720,468,216,523.3163479,13304,1594956.87,10998,504077.74,3605
53,"""dense""","""0.6""",TRUE,3000,3,TRUE,-750,750,-750,750,2400,0.609784032,1,0.301783877,2171938.56,TRUE,FALSE,221.478,2185.284,3215,2724,491,232,473.1177086,14610,1840044.85,12233,526761.27,3690
54,"""dense""","""0.6""",TRUE,3000,4,TRUE,-750,750,-750,750,2400,0.599760979,2,0.281083931,2022961.05,TRUE,FALSE,221.778,2199.376,3315,2847,468,234,482.2706709,14376,1708378.54,11977,502821.79,3741
55,"""dense""","""0.6""",TRUE,3000,5,TRUE,-750,750,-750,750,2400,0.61318091,1,0.271376047,1953093.41,TRUE,FALSE,212.627,2212.825,3285,2821,464,228,486.1861783,13799,1625622.85,11372,505561.75,3753
56,"""dense""","""0.6""",TRUE,3000,6,TRUE,-750,750,-750,750,2400,0.619408407,1,0.256021256,1842584.98,TRUE,FALSE,220.075,2225.701,3107,2660,447,206,474.0094936,12998,1528049.66,10681,461425.08,3392
57,"""dense""","""0.6""",TRUE,3000,7,TRUE,-750,750,-750,750,2400,0.620689117,1,0.295144853,2124157.51,TRUE,FALSE,219.789,2187.457,3195,2729,466,226,460.2503734,13930,1779009.12,11539,550960.98,3748
58,"""dense""","""0.6""",TRUE,3000,8,TRUE,-750,750,-750,750,2400,0.598523414,1,0.279201362,2009412.2,TRUE,FALSE,223.704,2226.419,3256,2767,489,221,490.3372367,13574,1678414.76,11198,522914.28,3752
59,"""dense""","""0.6""",TRUE,3000,9,TRUE,-750,750,-750,750,2400,0.59960636,1,0.300266053,2161014.78,TRUE,FALSE,210.604,2224.002,3197,2729,468,245,505.2019398,14467,1813415.65,12004,569845.13,3995
60,"""dense""","""0.6""",TRUE,3000,10,TRUE,-750,750,-750,750,2400,0.615829469,1,0.301481331,2169761.14,TRUE,FALSE,212.534,2235.077,3172,2672,500,237,646.0789425,14630,1826619.09,12225,592277.57,4127
61,"""dense""","""0.6""",FALSE,500,1,TRUE,-750,750,-750,750,2400,0.580419766,1,0.289665577,347453.86,TRUE,FALSE,229.461,2134.286,3258,3160,98,28,330.3250717,2504,0,0,35257.49,253
62,"""dense""","""0.6""",FALSE,500,2,TRUE,-750,750,-750,750,2400,0.594636274,1,0.265918583,318969.34,TRUE,FALSE,215.935,2122.351,3188,3103,85,24,328.5435648,2319,0,0,30677.88,238
63,"""dense""","""0.6""",FALSE,500,3,TRUE,-750,750,-750,750,2400,0.609784032,1,0.219298216,263048.21,TRUE,FALSE,202.887,2139.054,3215,3129,86,24,347.8056542,2224,0,0,27960.36,222
64,"""dense""","""0.6""",FALSE,500,4,TRUE,-750,750,-750,750,2400,0.599760979,2,0.307774773,369175.84,TRUE,FALSE,214.782,2148.132,3315,3220,95,29,302.0159211,2667,0,0,40453.79,273
65,"""dense""","""0.6""",FALSE,500,5,TRUE,-750,750,-750,750,2400,0.61318091,1,0.295230196,354128.62,TRUE,FALSE,222.766,2131.075,3285,3185,100,28,339.8266915,2551,0,0,41123.03,301
66,"""dense""","""0.6""",FALSE,500,6,TRUE,-750,750,-750,750,2400,0.619408407,1,0.292469404,350817.05,TRUE,FALSE,222.863,2124.344,3107,3017,90,26,321.3378285,2503,0,0,34116.97,244
67,"""dense""","""0.6""",FALSE,500,7,TRUE,-750,750,-750,750,2400,0.620689117,1,0.311655073,373830.26,TRUE,FALSE,205.141,2134.41,3195,3102,93,26,321.5777922,2345,0,0,41471.97,264
68,"""dense""","""0.6""",FALSE,500,8,TRUE,-750,750,-750,750,2400,0.598523414,1,0.350229271,420100.01,TRUE,FALSE,207.74,2139.282,3256,3155,101,36,290.5064543,2901,0,0,49258.25,340
69,"""dense""","""0.6""",FALSE,500,9,TRUE,-750,750,-750,750,2400,0.59960636,1,0.311054323,373109.66,TRUE,FALSE,223.866,2127.377,3197,3102,95,32,276.1255405,2478,0,0,43532.13,300
70,"""dense""","""0.6""",FALSE,500,10,TRUE,-750,750,-750,750,2400,0.615829469,1,0.280880542,336916.21,TRUE,FALSE,224.908,2127.518,3172,3078,94,29,293.0717744,2489,0,0,39220.25,289
71,"""dense""","""0.6""",FALSE,3000,1,TRUE,-750,750,-750,750,2400,0.580419766,1,0.188686885,1357979.51,TRUE,FALSE,201.127,2170.385,3258,2926,332,149,447.4395283,9891,0,0,260186.07,1901
72,"""dense""","""0.6""",FALSE,3000,2,TRUE,-750,750,-750,750,2400,0.594636274,1,0.184755347,1329684.23,TRUE,FALSE,204.766,2188.934,3188,2868,320,147,441.4003242,9769,0,0,245370.11,1854
73,"""dense""","""0.6""",FALSE,3000,3,TRUE,-750,750,-750,750,2400,0.609784032,1,0.173374063,1247773.13,TRUE,FALSE,213.405,2157.439,3215,2911,304,133,695.9170644,8942,0,0,240343.16,1706
74,"""dense""","""0.6""",FALSE,3000,4,TRUE,-750,750,-750,750,2400,0.599760979,2,0.19608747,1411241.52,TRUE,FALSE,210.603,2173.456,3315,2970,345,159,534.741173,10489,0,0,275391.12,2065
75,"""dense""","""0.6""",FALSE,3000,5,TRUE,-750,750,-750,750,2400,0.61318091,1,0.177835337,1279880.92,TRUE,FALSE,209.083,2179.849,3285,2961,324,149,515.9758464,9306,0,0,256554.62,1896
76,"""dense""","""0.6""",FALSE,3000,6,TRUE,-750,750,-750,750,2400,0.619408407,1,0.168992552,1216239.4,TRUE,FALSE,206.403,2190.142,3107,2803,304,136,431.2676363,9012,0,0,241268.33,1766
77,"""dense""","""0.6""",FALSE,3000,7,TRUE,-750,750,-750,750,2400,0.620689117,1,0.199898045,1438666.23,TRUE,FALSE,221.054,2162.833,3195,2881,314,147,435.8875169,9686,0,0,264589.97,1776
78,"""dense""","""0.6""",FALSE,3000,8,TRUE,-750,750,-750,750,2400,0.598523414,1,0.195157463,1404548.26,TRUE,FALSE,216.915,2161.003,3256,2921,335,153,606.4629165,10002,0,0,287773.86,2062
79,"""dense""","""0.6""",FALSE,3000,9,TRUE,-750,750,-750,750,2400,0.59960636,1,0.193890609,1395430.71,TRUE,FALSE,207.196,2106.278,3197,2878,319,150,441.2342998,9825,0,0,278562.3,1970
