BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/29/2016 14:36:41:335 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,
-100,100,-100,100,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,environment,communication?,population,repetitions,R,loop-num,nectar-influx,hive-collected,nectar.bee,imported,exported,timer-post-setup,timer,resources,resources.untouched,resources.found,resources.depleted,max [dist-hive-max] of turtles,foraged.trips,dance-quality,dance-quantity,dance.avg,random-quality,random-quantity,random.avg
56,"""dense""","""0.6""",,TRUE,3000,6,0.622354501,1,0.050921217,366480,122.16,TRUE,FALSE,183.661,2091.774,3131,2615,516,238,519.2966737,14664,321507,12594,25.53,92986,3949,23.55
57,"""dense""","""0.6""",,TRUE,3000,7,0.610874838,1,0.052061692,374688,124.90,TRUE,FALSE,187.673,2077.205,3265,2762,503,232,515.4402758,14185,327873,12232,26.8,98610,3891,25.34
58,"""dense""","""0.6""",,TRUE,3000,8,0.604063524,1,0.052342365,376708,125.57,TRUE,FALSE,181.881,2092.224,3200,2704,496,229,494.3917809,14368,330521,12431,26.59,98236,3912,25.11
59,"""dense""","""0.6""",,TRUE,3000,9,0.599654065,1,0.052073364,374772,124.92,TRUE,FALSE,186.74,2069.227,3154,2657,497,235,487.209523,14296,330268,12356,26.73,97372,3938,24.73
60,"""dense""","""0.6""",,TRUE,3000,10,0.625672431,1,0.058243991,419182,139.73,TRUE,FALSE,185.353,2094.75,3255,2713,542,257,487.0121663,15348,368754,13304,27.72,111496,4226,26.38
61,"""dense""","""0.6""",,FALSE,500,1,0.619356264,1,0.050780325,60911,121.82,TRUE,FALSE,188.927,2026.765,3154,3062,92,27,261.8661861,2412,0,0,0,6403,255,25.11
62,"""dense""","""0.6""",,FALSE,500,2,0.593983067,1,0.05852105,70196,140.39,TRUE,FALSE,185.975,2041.855,3222,3124,98,27,300.6216251,2438,0,0,0,7137,246,29.01
63,"""dense""","""0.6""",,FALSE,500,3,0.616456977,1,0.052400167,62854,125.71,TRUE,FALSE,191.176,2029.336,3168,3080,88,28,283.0635971,2294,0,0,0,6527,243,26.86
64,"""dense""","""0.6""",,FALSE,500,4,0.617132233,1,0.068090038,81674,163.35,TRUE,FALSE,207.325,2039.137,3202,3087,115,32,428.3861486,2986,0,0,0,9322,318,29.31
65,"""dense""","""0.6""",,FALSE,500,5,0.587748044,1,0.062140058,74537,149.07,TRUE,FALSE,183.351,2037.386,3247,3141,106,33,357.0776548,2729,0,0,0,8748,328,26.67
66,"""dense""","""0.6""",,FALSE,500,6,0.622354501,1,0.050107545,60104,120.21,TRUE,FALSE,186.81,2052.963,3131,3044,87,28,400.0799603,2376,0,0,0,6138,250,24.55
67,"""dense""","""0.6""",,FALSE,500,7,0.610874838,1,0.05237599,62825,125.65,TRUE,FALSE,190.103,2034.257,3265,3166,99,32,434.4801491,2602,0,0,0,7104,326,21.79
68,"""dense""","""0.6""",,FALSE,500,8,0.604063524,1,0.046961234,56330,112.66,TRUE,FALSE,215.483,2041.266,3200,3103,97,28,295.1348982,2405,0,0,0,6492,287,22.62
69,"""dense""","""0.6""",,FALSE,500,9,0.599654065,1,0.044005836,52785,105.57,TRUE,FALSE,182.027,2038.304,3154,3061,93,17,457.7936855,2238,0,0,0,4734,207,22.87
70,"""dense""","""0.6""",,FALSE,500,10,0.625672431,1,0.055886619,67036,134.07,TRUE,FALSE,186.446,2052.399,3255,3159,96,29,376.4773801,2523,0,0,0,6243,260,24.01
71,"""dense""","""0.6""",,FALSE,3000,1,0.619356264,1,0.034983743,251778,83.93,TRUE,FALSE,181.446,2073.945,3154,2833,321,152,580.5385431,9992,0,0,0,51169,2009,25.47
72,"""dense""","""0.6""",,FALSE,3000,2,0.593983067,1,0.034885369,251070,83.69,TRUE,FALSE,227.263,2103.384,3222,2919,303,136,499.0561091,9545,0,0,0,47964,1783,26.9
73,"""dense""","""0.6""",,FALSE,3000,3,0.616456977,1,0.032421565,233338,77.78,TRUE,FALSE,188.22,2088.475,3168,2833,335,147,561.8624554,9480,0,0,0,44788,1801,24.87
74,"""dense""","""0.6""",,FALSE,3000,4,0.617132233,1,0.035104905,252650,84.22,TRUE,FALSE,182.886,2101.566,3202,2869,333,154,499.3767322,9890,0,0,0,49135,1945,25.26
75,"""dense""","""0.6""",,FALSE,3000,5,0.587748044,1,0.03620453,260564,86.85,TRUE,FALSE,197.329,2089.846,3247,2922,325,159,481.7811362,9962,0,0,0,49346,1922,25.67
76,"""dense""","""0.6""",,FALSE,3000,6,0.622354501,1,0.034340836,247151,82.38,TRUE,FALSE,230.142,2099.37,3131,2802,329,155,522.8938363,9952,0,0,0,47557,1991,23.89
77,"""dense""","""0.6""",,FALSE,3000,7,0.610874838,1,0.034365569,247329,82.44,TRUE,FALSE,182.744,2040.35,3265,2954,311,145,401.14247,9381,0,0,0,46005,1808,25.45
78,"""dense""","""0.6""",,FALSE,3000,8,0.604063524,1,0.033152147,238596,79.53,TRUE,FALSE,187.435,2019.148,3200,2897,303,141,409.1765202,9269,0,0,0,46567,1859,25.05
79,"""dense""","""0.6""",,FALSE,3000,9,0.599654065,1,0.034001112,244706,81.57,TRUE,FALSE,182.306,1967.642,3154,2827,327,161,510.636647,9989,0,0,0,47335,1961,24.14
80,"""dense""","""0.6""",,FALSE,3000,10,0.625672431,1,0.03840628,276410,92.14,TRUE,FALSE,187.793,1949.634,3255,2910,345,155,557.4426919,9969,0,0,0,58247,2083,27.96
81,"""dense""","""0.8""",,TRUE,500,1,0.795811559,1,0.114345977,137158,274.32,FALSE,TRUE,61.744,1414.395,3170,3008,162,59,459.6996147,4095,125972,3762,33.49,23594,683,34.54
