"BehaviorSpace results (NetLogo 5.3)"
"Bees.nlogo"
"Simulation Run"
"04/19/2016 15:36:54:726 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-750","750","-750","750"
"[run number]","resource_density","R_value","communication?","population","repetitions","save_map","min-pxcor","max-pxcor","min-pycor","max-pycor","[step]","R","loop-num","nectar-influx","hive-collected","imported","exported","timer-post-setup","timer","count patches with [resource?]","count patches with [resource? and quantity = 50]","count patches with [resource? and quantity != 50]","count patches with [resource? and quantity = 0]","max [dist-hive-max] of turtles","foraged-count","dance-quality","dance-quantity","random-quality","random-quantity"
"1","""extra_sparse""","""0.4""","true","500","1","true","-750","750","-750","750","2400","0.3795210970076556","16","0.011055781575656525","13261.410000000002","false","true","578.168","2081.169","55","48","7","1","942.2627360630487","100","12516.560000000001","89","901.9399999999999","8"
"3","""extra_sparse""","""0.4""","true","500","3","true","-750","750","-750","750","2400","0.4035860655720385","39","0.015936206752813632","19115.479999999952","false","true","1103.805","2557.141","55","49","6","2","902.7324202168264","172","16037.210000000014","136","2304.3400000000006","26"
"2","""extra_sparse""","""0.4""","true","500","2","true","-750","750","-750","750","2400","0.4161535199455661","112","0.04989507294706136","59849.1400000001","false","true","3020.881","4421.104","67","56","11","5","725.3151174317203","326","50556.09000000002","267","5836.560000000003","36"
"4","""extra_sparse""","""0.4""","true","500","4","true","-750","750","-750","750","2400","0.4290665321086187","136","0.015150279283034591","18172.75999999999","false","true","3702.81","5096.374","63","56","7","0","750.9550270245309","88","17590.859999999993","84","1693.3300000000002","11"
"6","""extra_sparse""","""0.4""","true","500","6","true","-750","750","-750","750","2400","0.39166450600994157","97","0.03559804918716132","42699.86000000001","false","true","2698.013","4122.564","53","43","10","5","750.2690049054238","296","34239.029999999926","240","7297.0300000000025","51"
"8","""extra_sparse""","""0.4""","true","500","8","true","-750","750","-750","750","2400","0.4091920094055362","13","0.046741250521050375","56066.129999999925","false","true","379.501","1774.407","55","44","11","3","783.6175025151294","248","50590.43999999993","222","6302.02","32"
"10","""extra_sparse""","""0.4""","true","500","10","true","-750","750","-750","750","2400","0.4170890317907416","3","0.05883079616506883","70567.54000000007","false","true","107.575","1496.689","71","57","14","6","816.9480515541345","382","59424.00000000005","314","9531.550000000007","53"
"9","""extra_sparse""","""0.4""","true","500","9","true","-750","750","-750","750","2400","0.4137719916845433","16","0.04213787411421423","50544.37999999997","false","true","460.007","1920.663","68","58","10","5","690.0763818300788","288","43677.879999999925","242","3735.8400000000006","24"
"11","""extra_sparse""","""0.4""","true","3000","1","true","-750","750","-750","750","2400","0.3795210970076556","16","0.012677840766986224","91242.41999999985","true","false","225.823","2112.151","55","34","21","6","873.0214783602539","542","87814.83999999982","487","12347.970000000012","80"
"12","""extra_sparse""","""0.4""","true","3000","2","true","-750","750","-750","750","2400","0.4161535199455661","112","0.009538381269973624","68647.73000000017","true","false","222.362","2131.477","67","46","21","5","851.4896575207159","489","66296.74000000018","444","9188.390000000009","72"
"7","""extra_sparse""","""0.4""","true","500","7","true","-750","750","-750","750","2400","0.42470936681832666","198","0.01755638182576075","21058.880000000023","false","true","5304.169","6753.032","59","49","10","1","728.3622296540614","146","18417.059999999998","127","1402.3900000000003","11"
"5","""extra_sparse""","""0.4""","true","500","5","true","-750","750","-750","750","2400","0.4247028866513761","247","0.06625735723218004","79475.69999999995","false","true","8488.097","10037.286","59","45","14","6","959.5741192721783","445","66749.53000000022","362","6424.14","36"
"13","""extra_sparse""","""0.4""","true","3000","3","true","-750","750","-750","750","2400","0.4035860655720385","39","0.006706800055578726","48268.84000000009","true","false","213.905","2185.838","55","42","13","3","934.916718262201","336","46511.510000000075","309","6005.2100000000055","48"
"14","""extra_sparse""","""0.4""","true","3000","4","true","-750","750","-750","750","2400","0.4290665321086187","136","0.010882025844101731","78317.94000000015","true","false","237.265","2251.106","63","47","16","6","870.6098652591418","489","76188.23000000011","451","15903.349999999986","84"
"15","""extra_sparse""","""0.4""","true","3000","5","true","-750","750","-750","750","2400","0.4247028866513761","247","0.011579755453661205","83339.4999999997","true","false","211.78","2236.489","59","39","20","9","928.1731009480719","539","75256.95999999989","466","14285.62","88"
"16","""extra_sparse""","""0.4""","true","3000","6","true","-750","750","-750","750","2400","0.39166450600994157","97","0.015845680144504784","114041.36000000095","true","false","229.1","2378.286","53","33","20","13","913.1880121714007","717","101280.2400000007","638","20721.579999999965","138"
