"BehaviorSpace results (NetLogo 5.3)"
"Bees.nlogo"
"Simulation Run"
"04/13/2016 12:37:13:792 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-750","750","-750","750"
"[run number]","resource_density","R_value","communication?","population","repetitions","save_map","min-pxcor","max-pxcor","min-pycor","max-pycor","[step]","R","loop-num","nectar-influx","hive-collected","imported","exported","timer-post-setup","timer","count patches with [resource?]","count patches with [resource? and quantity = 50]","count patches with [resource? and quantity != 50]","count patches with [resource? and quantity = 0]","max [dist-hive-max] of turtles","foraged-count","dance-quality","dance-quantity","random-quality","random-quantity"
"2","""dense""","""0.4""","true","500","2","true","-750","750","-750","750","2400","0.3906261522237239","1","0.5324954731137982","638728.320000001","false","true","75.323","1544.702","3221","3059","162","65","320.9876056854628","4512","586462.1099999992","4141","100237.8399999998","698"
"3","""dense""","""0.4""","true","500","3","true","-750","750","-750","750","2400","0.42569677524078925","1","0.5301716465193846","635940.890000002","false","true","73.529","1565.079","3149","2991","158","64","407.5904807524337","4284","578542.2800000004","3900","104509.23999999969","703"
"4","""dense""","""0.4""","true","500","4","true","-750","750","-750","750","2400","0.3915582517016085","1","0.4550378240933657","545817.8699999921","false","true","80.518","1582.061","3182","3028","154","49","555.1424387874264","3643","487691.6199999918","3258","92586.23999999963","620"
"1","""dense""","""0.4""","true","500","1","true","-750","750","-750","750","2400","0.3888857758173233","1","0.5742992080033473","688871.9000000152","false","true","84.577","1617.89","3349","3173","176","75","452.62125447221325","4756","634528.0600000097","4377","118358.59999999945","803"
"5","""dense""","""0.4""","true","500","5","true","-750","750","-750","750","2400","0.3982471288727322","1","0.47906393497289834","574637.1899999916","false","true","70.367","1592.458","3210","3051","159","57","345.48516610702694","4004","520700.989999991","3623","115017.72000000006","791"
"7","""dense""","""0.4""","true","500","7","true","-750","750","-750","750","2400","0.4190074299198801","1","0.46766100875364436","560959.3799999964","false","true","77.999","1611.607","3254","3097","157","55","425.0647009573954","4162","509274.8299999931","3782","88088.44999999988","658"
"6","""dense""","""0.4""","true","500","6","true","-750","750","-750","750","2400","0.4051076675009418","1","0.48176349312212974","577875.3099999946","false","true","71.471","1638.862","3198","3047","151","57","327.10107092026743","4039","525166.5199999897","3666","87768.25000000007","610"
"8","""dense""","""0.4""","true","500","8","true","-750","750","-750","750","2400","0.4031615642890054","1","0.5229196415172958","627242.1099999963","false","true","82.704","1705.887","3249","3077","172","57","364.319570573062","4356","573299.9699999936","3976","84160.07999999994","583"
"9","""dense""","""0.4""","true","500","9","true","-750","750","-750","750","2400","0.4015388719112562","1","0.4519801083784814","542150.1399999885","false","true","69.047","1651.982","3126","2979","147","50","345.37660604042077","3675","486922.0199999898","3296","89507.60000000002","599"
"10","""dense""","""0.4""","true","500","10","true","-750","750","-750","750","2400","0.39023028996294395","1","0.48451469779073575","581175.3799999875","false","true","83.647","1672.078","3123","2964","159","54","561.1795831778232","3848","526051.7499999858","3482","86534.92999999992","583"
"11","""dense""","""0.4""","true","3000","1","true","-750","750","-750","750","2400","0.3888857758173233","1","0.2961966916770855","2131727.5899999845","true","false","258.38","2411.497","3349","2863","486","235","616.8160502067327","14324","1831379.1099999845","12292","647523.0199999898","4384"
"12","""dense""","""0.4""","true","3000","2","true","-750","750","-750","750","2400","0.3906261522237239","1","0.2965499624843738","2134270.0800000383","true","false","258.526","2561.87","3221","2723","498","242","526.929821510002","14770","1834986.52000002","12680","607999.8300000016","4185"
"13","""dense""","""0.4""","true","3000","3","true","-750","750","-750","750","2400","0.42569677524078925","1","0.2912076573572345","2095821.5100000165","true","false","256.596","2406.164","3149","2655","494","239","512.3960121602408","14477","1796654.5400000133","12416","565904.1699999969","3899"
"14","""dense""","""0.4""","true","3000","4","true","-750","750","-750","750","2400","0.3915582517016085","1","0.30154940947616976","2170251.0999999936","true","false","256.104","2459.41","3182","2685","497","247","535.8927131432187","14786","1868588.039999988","12726","629139.0599999933","4298"
"15","""dense""","""0.4""","true","3000","5","true","-750","750","-750","750","2400","0.3982471288727322","1","0.30323714603306723","2182397.739999985","true","false","261.625","2422.937","3210","2725","485","256","513.2877350434509","15090","1881246.3199999821","13003","615220.9299999988","4314"
"16","""dense""","""0.4""","true","3000","6","true","-750","750","-750","750","2400","0.4051076675009418","1","0.32583254411561313","2345016.820000068","true","false","254.001","2580.445","3198","2663","535","265","518.4756503443532","15989","2030562.8300000615","13839","732636.9599999915","4921"
"17","""dense""","""0.4""","true","3000","7","true","-750","750","-750","750","2400","0.4190074299198801","1","0.2879603320828118","2072450.5099999965","true","false","280.336","2372.245","3254","2774","480","258","558.6592757462328","14957","1780795.4300000002","12854","585433.9299999957","4277"
"18","""dense""","""0.4""","true","3000","8","true","-750","750","-750","750","2400","0.4031615642890054","1","0.30996788106155404","2230838.8400000045","true","false","251.249","2428.775","3249","2747","502","255","582.6328174759811","15435","1925962.979999969","13322","650328.1500000054","4481"
"19","""dense""","""0.4""","true","3000","9","true","-750","750","-750","750","2400","0.4015388719112562","1","0.29311105043767377","2109520.229999938","true","false","246.811","2397.026","3126","2641","485","239","499.5879221385712","14432","1814432.2999999584","12405","610269.66","4138"
"20","""dense""","""0.4""","true","3000","10","true","-750","750","-750","750","2400","0.39023028996294395","1","0.292245075726008","2103287.8100000797","true","false","236.698","2574.686","3123","2616","507","235","609.0886634965389","14152","1794647.6500000546","12082","593016.1499999824","3970"
"21","""dense""","""0.4""","false","500","1","true","-750","750","-750","750","2400","0.3888857758173233","1","0.3162064110045865","379289.59000000154","true","false","303.892","2340.702","3349","3253","96","35","436.4279728590557","2715","0","0","42193.72000000004","307"
"22","""dense""","""0.4""","false","500","2","true","-750","750","-750","750","2400","0.3906261522237239","1","0.2821203584827017","338403.3700000007","true","false","262.085","2404.31","3221","3127","94","29","364.8651256868303","2469","0","0","34605.47000000002","250"
"23","""dense""","""0.4""","false","500","3","true","-750","750","-750","750","2400","0.42569677524078925","1","0.2804527969987467","336403.1299999967","true","false","254.983","2358.191","3149","3061","88","24","318.1610880644551","2273","0","0","32004.570000000018","216"
"24","""dense""","""0.4""","false","500","4","true","-750","750","-750","750","2400","0.3915582517016085","1","0.2818548895373055","338084.93999999797","true","false","252.625","2595.676","3182","3087","95","21","383.2074859344091","2286","0","0","35874.26000000004","243"
"25","""dense""","""0.4""","false","500","5","true","-750","750","-750","750","2400","0.3982471288727322","1","0.3210558816173357","385106.5299999942","true","false","254.202","2336.667","3210","3122","88","35","297.9463038871266","2667","0","0","46231.77000000008","327"
"26","""dense""","""0.4""","false","500","6","true","-750","750","-750","750","2400","0.4051076675009418","1","0.3154598499374732","378394.08999999915","true","false","250.843","2343.254","3198","3095","103","32","380.0830226189988","2680","0","0","45039.200000000004","315"
