"BehaviorSpace results (NetLogo 5.3)"
"Bees.nlogo"
"Simulation Run"
"04/05/2016 14:38:27:510 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","resource_density","R_value","communication?","population","repetitions","save_map","min-pxcor","max-pxcor","min-pycor","max-pycor","[step]","R","loop-num","nectar-influx","hive-collected","imported","exported","timer-post-setup","timer","count patches with [resource?]","count patches with [resource? and quantity = 50]","count patches with [resource? and quantity != 50]","count patches with [resource? and quantity = 0]","max [dist-hive-max] of turtles","foraged-count","dance-quality","dance-quantity","random-quality","random-quantity"
"2","""dense""","""0.4""","true","500","2","true","-750","750","-750","750","2400","0.3773787489964278","1","19.80884258441047","2.376070668000036E7","false","true","77.664","1426.425","3333","3155","178","79","390.8664231408381","4911","2.224772116000023E7","4313","5336624.130000016","829"
"4","""dense""","""0.4""","true","500","4","true","-750","750","-750","750","2400","0.3974191709394411","1","223.01936332638624","2.6751172631000027E8","false","true","74.999","1427.885","3182","2989","193","82","387.62617976059664","5343","2.514394176700008E8","3546","5.59898004599998E7","1078"
"1","""dense""","""0.4""","true","500","1","true","-750","750","-750","750","2400","0.39477321859514947","1","99.17897491454728","1.1896518040999947E8","false","true","79.488","1434.149","3192","3001","191","69","415.01091779016497","5094","1.1258718881000039E8","3694","1.1733306989999995E7","767"
"3","""dense""","""0.4""","true","500","3","true","-750","750","-750","750","2400","0.41228692507921594","1","87.18858038349144","1.0458270216999799E8","false","true","77.572","1436.916","3093","2897","196","90","448.3119369593913","5768","9.792577803999907E7","4510","1.5100046480000023E7","1068"
"5","""dense""","""0.4""","true","500","5","true","-750","750","-750","750","2400","0.4235010323777827","1","40.085346861191006","4.808237355999861E7","false","true","70.05","1421.919","3186","2986","200","89","404.293210430252","5929","4.48248505899993E7","4781","6874711.8200000245","1018"
"6","""dense""","""0.4""","true","500","6","true","-750","750","-750","750","2400","0.411615205561371","1","60.222694180907766","7.223712166999887E7","false","true","65.969","1421.525","3256","3048","208","73","484.31603002258265","5443","6.70524434399993E7","4275","1.4156126010000018E7","876"
"8","""dense""","""0.4""","true","500","8","true","-750","750","-750","750","2400","0.4027177044547965","1","129.23562420175455","1.5501813123000458E8","false","true","70.181","1430.851","3178","2972","206","83","418.1339498294775","5790","1.4693677614000276E8","3909","5.355746424999993E7","1100"
"7","""dense""","""0.4""","true","500","7","true","-750","750","-750","750","2400","0.41350428948381635","2","55.796059191329","6.6927372999999136E7","false","true","118.863","1485.295","3111","2907","204","83","492.54837533780807","5534","6.24700846699998E7","4463","8935892.350000026","942"
"10","""dense""","""0.4""","true","500","10","true","-750","750","-750","750","2400","0.42762718799218985","1","28.70605219674827","3.443290960999955E7","false","true","69.185","1476.917","3135","2925","210","82","470.69036941048336","5636","3.2523677639999654E7","4857","6159904.069999997","913"
"9","""dense""","""0.4""","true","500","9","true","-750","750","-750","750","2400","0.3878214295203497","1","39.73866285952431","4.766652609999941E7","false","true","72.665","1481.269","3241","3035","206","88","399.827819088953","5561","4.388915153999973E7","4732","1.030882511999996E7","1134"
"11","""dense""","""0.4""","true","3000","1","true","-750","750","-750","750","2400","0.39477321859514947","1","69.3751961553448","4.992932867300165E8","true","false","209.242","2159.512","3192","2561","631","341","680.4411961160596","19667","4.6274563208001435E8","12867","1.4591949238000223E8","6676"
"12","""dense""","""0.4""","true","3000","2","true","-750","750","-750","750","2400","0.3773787489964278","1","26.07886614700727","1.8768959966001132E8","true","false","209.359","2135.442","3333","2737","596","297","759.2167016076504","18074","1.736793527800076E8","14597","5.55519391199996E7","5061"
"14","""dense""","""0.4""","true","3000","4","true","-750","750","-750","750","2400","0.3974191709394411","1","92.75284621925664","6.6754223423999E8","true","false","212.747","2124.407","3182","2545","637","326","680.5365530226867","19431","6.330759484700015E8","12728","2.0553857874000353E8","6107"
"13","""dense""","""0.4""","true","3000","3","true","-750","750","-750","750","2400","0.41228692507921594","1","53.287557608725045","3.835105521099942E8","true","false","211.204","2129.766","3093","2463","630","321","586.3147618813636","19021","3.519946376599942E8","13264","1.3967114376999947E8","6185"
"15","""dense""","""0.4""","true","3000","5","true","-750","750","-750","750","2400","0.4235010323777827","1","29.31486618591183","2.1097909194000745E8","true","false","208.847","2150.883","3186","2563","623","354","626.9380775243858","20304","1.925558644100047E8","16175","6.43115359899995E7","6386"
"16","""dense""","""0.4""","true","3000","6","true","-750","750","-750","750","2400","0.411615205561371","1","42.33810142420588","3.047073159500097E8","true","false","207.842","2141.632","3256","2644","612","331","620.2647089354608","19079","2.815836851200104E8","14341","9.752009028999843E7","6077"
"18","""dense""","""0.4""","true","3000","8","true","-750","750","-750","750","2400","0.4027177044547965","1","52.638367828264165","3.788383332600172E8","true","false","212.002","2126.318","3178","2530","648","358","707.774681660767","20736","3.5714544392001134E8","15254","1.1124029099999921E8","6431"
"17","""dense""","""0.4""","true","3000","7","true","-750","750","-750","750","2400","0.41350428948381635","2","61.47691679588884","4.42449370180012E8","true","false","211.582","2128.095","3111","2459","652","338","625.4456667602587","19734","4.145589637200094E8","14482","1.150434707499994E8","6006"
"20","""dense""","""0.4""","true","3000","10","true","-750","750","-750","750","2400","0.42762718799218985","1","28.032934715853806","2.0175303114999983E8","true","false","211.518","2136.479","3135","2488","647","318","682.6895341222099","18726","1.8771213037999904E8","15168","5.846878237999949E7","5787"
"19","""dense""","""0.4""","true","3000","9","true","-750","750","-750","750","2400","0.3878214295203497","1","29.60571431152095","2.1307232590001625E8","true","false","211.144","2164.319","3241","2612","629","346","642.4315799364053","19822","1.941443416200086E8","15238","5.580036166999902E7","6110"
"21","""dense""","""0.4""","false","500","1","true","-750","750","-750","750","2400","0.39477321859514947","1","20.743294172571776","2.4881581359999847E7","true","false","211.631","2022.161","3192","3108","84","25","327.4924696713807","2309","0","0","1821604.0400000005","253"
"22","""dense""","""0.4""","false","500","2","true","-750","750","-750","750","2400","0.3773787489964278","1","7.478350112546866","8970280.959999966","true","false","211.456","2021.856","3333","3249","84","21","319.363429340305","1929","0","0","944412.0700000015","203"
"23","""dense""","""0.4""","false","500","3","true","-750","750","-750","750","2400","0.41228692507921594","1","10.245106686119211","1.2289005469999993E7","true","false","212.004","2029.953","3093","3007","86","26","455.2471856036015","2279","0","0","1957306.4499999972","271"
