BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,
Practice-ish Run,,,,,,,,,,,,,,,,,,,,,,,,,
03/17/2016 16:41:18:117 -0700,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],R,loop-num,J-per-microL,nectar-influx,hive-collected,collected nectar (mL),,imported,exported,timer-post-setup,timer,resources,untouched resources,depleted resources,max [dist-hive-max] of turtles
28,"""dense""","""0.4""",FALSE,500,8,-750,750,-750,750,2400,0.399167112,1,5.819,45.59790447,5.47E+07,9399327.45,1879.87,TRUE,FALSE,166.76,1764.142,3196,3030,63,469.4339621
29,"""dense""","""0.4""",FALSE,500,9,-750,750,-750,750,2400,0.410018711,1,5.819,4.593487737,5509888.54,946878.94,189.38,TRUE,FALSE,176.607,1851.901,3177,2994,65,660.4391103
30,"""dense""","""0.4""",FALSE,500,10,-750,750,-750,750,2400,0.407669637,1,5.819,15.05449357,1.81E+07,3103259.16,620.65,TRUE,FALSE,177.472,1900.772,3193,3057,53,315.2904006
31,"""dense""","""0.4""",FALSE,3000,1,-750,750,-750,750,2400,0.375692925,1,5.819,15.63852907,1.88E+07,3223649.36,107.45,TRUE,FALSE,212.551,1802.651,3273,3086,72,383.6000521
32,"""dense""","""0.4""",FALSE,3000,2,-750,750,-750,750,2400,0.397899626,1,5.819,8.921425302,1.07E+07,1839018.67,61.30,TRUE,FALSE,175.719,1804.451,3179,2993,83,416.1685373
33,"""dense""","""0.4""",FALSE,3000,3,-750,750,-750,750,2400,0.405139389,1,5.819,7.920934489,9501160.92,1632782.42,54.43,TRUE,FALSE,174.493,1881.955,3238,3052,63,386.5666896
34,"""dense""","""0.4""",FALSE,3000,4,-750,750,-750,750,2400,0.396192676,1,5.819,30.01809674,3.60E+07,6187782.62,206.26,TRUE,FALSE,167.598,1789.128,3202,3013,73,406.472951
35,"""dense""","""0.4""",FALSE,3000,5,-750,750,-750,750,2400,0.40136583,1,5.819,12.53490818,1.50E+07,2583884.23,86.13,TRUE,FALSE,179.115,1827.536,3240,3064,65,481.5974014
36,"""dense""","""0.4""",FALSE,3000,6,-750,750,-750,750,2400,0.381806428,1,5.819,16.57934133,1.99E+07,3417583.76,113.92,TRUE,FALSE,174.485,1859.141,3177,2981,78,446.2050732
37,"""dense""","""0.4""",FALSE,3000,7,-750,750,-750,750,2400,0.423673002,1,5.819,8.433140308,1.01E+07,1738366.01,57.95,TRUE,FALSE,167.304,1810.369,3192,3015,63,433.0941376
38,"""dense""","""0.4""",FALSE,3000,8,-750,750,-750,750,2400,0.399167112,1,5.819,45.59790447,5.47E+07,9399327.45,313.31,TRUE,FALSE,175.788,1852.753,3196,3030,63,469.4339621
39,"""dense""","""0.4""",FALSE,3000,9,-750,750,-750,750,2400,0.410018711,1,5.819,4.593487737,5509888.54,946878.94,31.56,TRUE,FALSE,219.632,1860.95,3177,2994,65,660.4391103
40,"""dense""","""0.4""",FALSE,3000,10,-750,750,-750,750,2400,0.407669637,1,5.819,15.05449357,1.81E+07,3103259.16,103.44,TRUE,FALSE,165.52,1687.598,3193,3057,53,315.2904006
41,"""dense""","""0.6""",TRUE,500,1,-750,750,-750,750,2400,0.594937163,1,5.819,2.606357657,3126326.01,537261.73,107.45,FALSE,TRUE,44.149,1327.206,3259,3091,66,315.2394049
42,"""dense""","""0.6""",TRUE,500,2,-750,750,-750,750,2400,0.613878198,1,5.819,2.614872363,3136539.4,539016.91,107.80,FALSE,TRUE,44.601,1365.506,3186,2998,66,361.3752121
43,"""dense""","""0.6""",TRUE,500,3,-750,750,-750,750,2400,0.604229844,1,5.819,1.756960133,2107473.68,362171.11,72.43,FALSE,TRUE,43.622,1276.17,3315,3124,75,342.7116314
44,"""dense""","""0.6""",TRUE,500,4,-750,750,-750,750,2400,0.617258128,1,5.819,2.071805461,2485130.65,427071.77,85.41,FALSE,TRUE,45.571,1313.519,3001,2832,56,371.6046719
45,"""dense""","""0.6""",TRUE,500,5,-750,750,-750,750,2400,0.606457683,1,5.819,2.071215531,2484423.03,426950.17,85.39,FALSE,TRUE,43.651,1262.242,3250,3090,55,387.490645
46,"""dense""","""0.6""",TRUE,500,6,-750,750,-750,750,2400,0.581764088,1,5.819,1.681963985,2017515.8,346711.77,69.34,FALSE,TRUE,43.973,1346.517,3207,3019,64,456.9593945
47,"""dense""","""0.6""",TRUE,500,7,-750,750,-750,750,2400,0.597584464,1,5.819,1.2414007,1489060.14,255896.23,51.18,FALSE,TRUE,44,1303.752,3214,3043,64,448.8411721
48,"""dense""","""0.6""",TRUE,500,8,-750,750,-750,750,2400,0.572420355,1,5.819,4.193878058,5030556.73,864505.37,172.90,FALSE,TRUE,43.172,1260.356,3250,3067,64,364.9719751
