BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/08/2016 17:12:08:654 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,save_map,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],R,loop-num,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,count patches with [resource?],count patches with [resource? and quantity = 50],count patches with [resource? and quantity != 50],count patches with [resource? and quantity = 0],max [dist-hive-max] of turtles,foraged-count,,dance-quality,dance-quantity,,random-quality,random-quantity,
21,"""dense""","""0.4""",FALSE,500,1,TRUE,-750,750,-750,750,2400,0.390051339,1,0.304345511,365062.44,TRUE,FALSE,222.023,2107.332,3323,3222,101,30,291.5039146,2623,139.1774457,0,0,#DIV/0!,42990.97,335,128.3312537
22,"""dense""","""0.4""",FALSE,500,2,TRUE,-750,750,-750,750,2400,0.404141609,1,0.365308904,438188.03,TRUE,FALSE,221.352,2117.875,3180,3072,108,33,285.926564,2582,169.7087645,0,0,#DIV/0!,56298.73,323,174.2994737
23,"""dense""","""0.4""",FALSE,500,3,TRUE,-750,750,-750,750,2400,0.3976774,1,0.288160942,345649.05,TRUE,FALSE,219.818,2088.316,3139,3043,96,33,334.113186,2491,138.759153,0,0,#DIV/0!,42315.92,318,133.0689308
24,"""dense""","""0.4""",FALSE,500,4,TRUE,-750,750,-750,750,2400,0.408533056,1,0.234899225,281761.62,TRUE,FALSE,214.34,2102.283,3173,3085,88,22,346.4808797,2076,135.7233237,0,0,#DIV/0!,33651.22,242,139.0546281
25,"""dense""","""0.4""",FALSE,500,5,TRUE,-750,750,-750,750,2400,0.416171535,1,0.335320817,402217.32,TRUE,FALSE,218.667,2106.966,3190,3088,102,22,415.6500932,2575,156.200901,0,0,#DIV/0!,34855.9,230,151.5473913
26,"""dense""","""0.4""",FALSE,500,6,TRUE,-750,750,-750,750,2400,0.421280332,1,0.280995982,337054.68,TRUE,FALSE,215.993,2109.822,3226,3133,93,25,407.4125673,2349,143.4885824,0,0,#DIV/0!,31486.67,223,141.1958296
27,"""dense""","""0.4""",FALSE,500,7,TRUE,-750,750,-750,750,2400,0.394800892,1,0.252944393,303406.8,TRUE,FALSE,217.778,2110.063,3140,3039,101,24,325.821346,2395,126.6834238,0,0,#DIV/0!,30677.55,240,127.823125
28,"""dense""","""0.4""",FALSE,500,8,TRUE,-750,750,-750,750,2400,0.422445432,1,0.28247519,338828.99,TRUE,FALSE,221.822,2119.057,3166,3076,90,24,249.1043958,2283,148.4139247,0,0,#DIV/0!,37264.95,253,147.2922925
29,"""dense""","""0.4""",FALSE,500,9,TRUE,-750,750,-750,750,2400,0.414376727,1,0.361815732,433997.97,TRUE,FALSE,219.833,2111.201,3168,3063,105,31,361.1727687,2696,160.9784755,0,0,#DIV/0!,44713.05,293,152.6042662
30,"""dense""","""0.4""",FALSE,500,10,TRUE,-750,750,-750,750,2400,0.394259285,1,0.280118558,336002.21,TRUE,FALSE,224.223,2118.405,3188,3086,102,26,402.5559895,2168,154.9825692,0,0,#DIV/0!,41105.64,272,151.1236765
