BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Practice-ish Run,,,,,hi,,,,,,,,,,,,,,,,,,,,,,,
03/22/2016 15:40:27:356 -0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,min-pxcor,max-pxcor,min-pycor,max-pycor,[step],population,communication?,R,loop-num,J-per-microL,nectar-influx,hive-collected,mL,nectar(mL)/bee,imported,exported,timer-post-setup,timer,resources,untouched resources,found resources,depleted resources,max [dist-hive-max] of turtles
25,"""dense""","""0.4""",FALSE,500,5,-750,750,-750,750,2400,500,FALSE,0.408605302,1,5.819,9.43204386,1.13E+07,1944275.066,3888.550132,TRUE,FALSE,215.026,2000.932,3175,3090,85,29,301.6827214
26,"""dense""","""0.4""",FALSE,500,6,-750,750,-750,750,2400,500,FALSE,0.386587038,1,5.819,3.161486144,3792202.63,651693.1827,1303.386365,TRUE,FALSE,217.123,1990.566,3179,3093,86,23,339.879571
27,"""dense""","""0.4""",FALSE,500,7,-750,750,-750,750,2400,500,FALSE,0.396434925,1,5.819,3.711188445,4451570.54,765006.1076,1530.012215,TRUE,FALSE,206.385,1977.967,3261,3179,82,24,314.7600719
28,"""dense""","""0.4""",FALSE,500,8,-750,750,-750,750,2400,500,FALSE,0.410069612,1,5.819,1.160594965,1392133.66,239239.3298,478.4786596,TRUE,FALSE,205.447,2000.383,3260,3177,83,25,438.802917
29,"""dense""","""0.4""",FALSE,500,9,-750,750,-750,750,2400,500,FALSE,0.407670499,1,5.819,2.897625344,3475701.6,597302.2169,1194.604434,TRUE,FALSE,207.157,2029.366,3217,3117,100,28,322.8947197
30,"""dense""","""0.4""",FALSE,500,10,-750,750,-750,750,2400,500,FALSE,0.41870442,1,5.819,10.69628424,1.28E+07,2204879.35,4409.7587,TRUE,FALSE,206.86,2019.194,3123,3035,88,23,381.4734591
31,"""dense""","""0.4""",FALSE,3000,1,-750,750,-750,750,2400,3000,FALSE,0.421399761,1,5.819,2.223805871,1.60E+07,2750426.336,916.8087787,TRUE,FALSE,249.766,2072.491,3133,2828,305,148,449.0267253
32,"""dense""","""0.4""",FALSE,3000,2,-750,750,-750,750,2400,3000,FALSE,0.412616347,1,5.819,3.332091456,2.40E+07,4121165.528,1373.721843,TRUE,FALSE,247.503,2095.829,3220,2935,285,119,428.5145073
33,"""dense""","""0.4""",FALSE,3000,3,-750,750,-750,750,2400,3000,FALSE,0.406427356,1,5.819,2.27016533,1.63E+07,2807764.2,935.9214,TRUE,FALSE,218.385,2048.675,3238,2912,326,137,560.5661394
34,"""dense""","""0.4""",FALSE,3000,4,-750,750,-750,750,2400,3000,FALSE,0.406507156,1,5.819,3.326101798,2.39E+07,4113757.457,1371.252486,TRUE,FALSE,216.967,2052.446,3238,2907,331,143,471.6534745
35,"""dense""","""0.4""",FALSE,3000,5,-750,750,-750,750,2400,3000,FALSE,0.408605302,1,5.819,5.753058095,4.14E+07,7115442.363,2371.814121,TRUE,FALSE,183.011,2069.865,3175,2827,348,146,423.0567259
