BehaviorSpace results (NetLogo 5.3),,,,,,,,
Bees.nlogo,,,,,,,,
resource_nums,,,,,,,,
02/17/2016 11:01:19:818 -0800,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
-500,500,-500,500,,,,,
[run number],resource_density,patchiness,c1_mult,c2_mult,calc_R,[step],num-patches-r,count patches with [resource?]
109,"""sparse""",1,1,201,FALSE,1,44.532888,46
110,"""sparse""",1,1,201,FALSE,1,44.532888,39
111,"""sparse""",1,1,201,FALSE,1,44.532888,58
112,"""sparse""",1,1,201,FALSE,1,44.532888,37
113,"""sparse""",1,1,201,FALSE,1,44.532888,39
114,"""sparse""",1,1,201,FALSE,1,44.532888,45
115,"""sparse""",1,1,201,FALSE,1,44.532888,49
116,"""sparse""",1,1,201,FALSE,1,44.532888,54
117,"""sparse""",1,1,201,FALSE,1,44.532888,48
118,"""sparse""",1,1,201,FALSE,1,44.532888,38
119,"""sparse""",1,1,201,FALSE,1,44.532888,51
120,"""sparse""",1,1,201,FALSE,1,44.532888,54
121,"""sparse""",1,41,1,FALSE,1,44.532888,47
122,"""sparse""",1,41,1,FALSE,1,44.532888,40
123,"""sparse""",1,41,1,FALSE,1,44.532888,46
124,"""sparse""",1,41,1,FALSE,1,44.532888,26
125,"""sparse""",1,41,1,FALSE,1,44.532888,42
126,"""sparse""",1,41,1,FALSE,1,44.532888,43
127,"""sparse""",1,41,1,FALSE,1,44.532888,46
128,"""sparse""",1,41,1,FALSE,1,44.532888,47
129,"""sparse""",1,41,1,FALSE,1,44.532888,44
130,"""sparse""",1,41,1,FALSE,1,44.532888,32
131,"""sparse""",1,41,1,FALSE,1,44.532888,49
132,"""sparse""",1,41,1,FALSE,1,44.532888,48
133,"""sparse""",1,41,1,FALSE,1,44.532888,34
134,"""sparse""",1,41,1,FALSE,1,44.532888,40
135,"""sparse""",1,41,1,FALSE,1,44.532888,37
136,"""sparse""",1,41,1,FALSE,1,44.532888,52
137,"""sparse""",1,41,1,FALSE,1,44.532888,45
138,"""sparse""",1,41,1,FALSE,1,44.532888,42
139,"""sparse""",1,41,1,FALSE,1,44.532888,45
140,"""sparse""",1,41,1,FALSE,1,44.532888,47
141,"""sparse""",1,41,41,FALSE,1,44.532888,53
142,"""sparse""",1,41,41,FALSE,1,44.532888,49
143,"""sparse""",1,41,41,FALSE,1,44.532888,49
144,"""sparse""",1,41,41,FALSE,1,44.532888,37
145,"""sparse""",1,41,41,FALSE,1,44.532888,36
146,"""sparse""",1,41,41,FALSE,1,44.532888,31
147,"""sparse""",1,41,41,FALSE,1,44.532888,48
148,"""sparse""",1,41,41,FALSE,1,44.532888,41
149,"""sparse""",1,41,41,FALSE,1,44.532888,46
150,"""sparse""",1,41,41,FALSE,1,44.532888,48
151,"""sparse""",1,41,41,FALSE,1,44.532888,48
152,"""sparse""",1,41,41,FALSE,1,44.532888,41
153,"""sparse""",1,41,41,FALSE,1,44.532888,43
154,"""sparse""",1,41,41,FALSE,1,44.532888,39
155,"""sparse""",1,41,41,FALSE,1,44.532888,46
156,"""sparse""",1,41,41,FALSE,1,44.532888,57
157,"""sparse""",1,41,41,FALSE,1,44.532888,50
158,"""sparse""",1,41,41,FALSE,1,44.532888,34
159,"""sparse""",1,41,41,FALSE,1,44.532888,37
160,"""sparse""",1,41,41,FALSE,1,44.532888,43
161,"""sparse""",1,41,81,FALSE,1,44.532888,41
162,"""sparse""",1,41,81,FALSE,1,44.532888,52
163,"""sparse""",1,41,81,FALSE,1,44.532888,44
164,"""sparse""",1,41,81,FALSE,1,44.532888,38
165,"""sparse""",1,41,81,FALSE,1,44.532888,40
166,"""sparse""",1,41,81,FALSE,1,44.532888,43
167,"""sparse""",1,41,81,FALSE,1,44.532888,43
168,"""sparse""",1,41,81,FALSE,1,44.532888,45
169,"""sparse""",1,41,81,FALSE,1,44.532888,43
170,"""sparse""",1,41,81,FALSE,1,44.532888,46
171,"""sparse""",1,41,81,FALSE,1,44.532888,50
172,"""sparse""",1,41,81,FALSE,1,44.532888,45
173,"""sparse""",1,41,81,FALSE,1,44.532888,38
174,"""sparse""",1,41,81,FALSE,1,44.532888,37
175,"""sparse""",1,41,81,FALSE,1,44.532888,48
176,"""sparse""",1,41,81,FALSE,1,44.532888,38
177,"""sparse""",1,41,81,FALSE,1,44.532888,55
178,"""sparse""",1,41,81,FALSE,1,44.532888,44
179,"""sparse""",1,41,81,FALSE,1,44.532888,48
180,"""sparse""",1,41,81,FALSE,1,44.532888,41
181,"""sparse""",1,41,121,FALSE,1,44.532888,30
182,"""sparse""",1,41,121,FALSE,1,44.532888,47
183,"""sparse""",1,41,121,FALSE,1,44.532888,41
184,"""sparse""",1,41,121,FALSE,1,44.532888,46
185,"""sparse""",1,41,121,FALSE,1,44.532888,44
186,"""sparse""",1,41,121,FALSE,1,44.532888,47
187,"""sparse""",1,41,121,FALSE,1,44.532888,56
188,"""sparse""",1,41,121,FALSE,1,44.532888,48
189,"""sparse""",1,41,121,FALSE,1,44.532888,44
190,"""sparse""",1,41,121,FALSE,1,44.532888,39
191,"""sparse""",1,41,121,FALSE,1,44.532888,41
192,"""sparse""",1,41,121,FALSE,1,44.532888,53
193,"""sparse""",1,41,121,FALSE,1,44.532888,44
194,"""sparse""",1,41,121,FALSE,1,44.532888,40
195,"""sparse""",1,41,121,FALSE,1,44.532888,45
196,"""sparse""",1,41,121,FALSE,1,44.532888,43
197,"""sparse""",1,41,121,FALSE,1,44.532888,44
198,"""sparse""",1,41,121,FALSE,1,44.532888,52
199,"""sparse""",1,41,121,FALSE,1,44.532888,35
200,"""sparse""",1,41,121,FALSE,1,44.532888,42
201,"""sparse""",1,41,161,FALSE,1,44.532888,46
202,"""sparse""",1,41,161,FALSE,1,44.532888,34
203,"""sparse""",1,41,161,FALSE,1,44.532888,65
204,"""sparse""",1,41,161,FALSE,1,44.532888,49
205,"""sparse""",1,41,161,FALSE,1,44.532888,40
206,"""sparse""",1,41,161,FALSE,1,44.532888,43
207,"""sparse""",1,41,161,FALSE,1,44.532888,42
208,"""sparse""",1,41,161,FALSE,1,44.532888,45
209,"""sparse""",1,41,161,FALSE,1,44.532888,44
210,"""sparse""",1,41,161,FALSE,1,44.532888,43
211,"""sparse""",1,41,161,FALSE,1,44.532888,37
212,"""sparse""",1,41,161,FALSE,1,44.532888,53
213,"""sparse""",1,41,161,FALSE,1,44.532888,59
214,"""sparse""",1,41,161,FALSE,1,44.532888,32
215,"""sparse""",1,41,161,FALSE,1,44.532888,38
216,"""sparse""",1,41,161,FALSE,1,44.532888,35
217,"""sparse""",1,41,161,FALSE,1,44.532888,41
218,"""sparse""",1,41,161,FALSE,1,44.532888,46
219,"""sparse""",1,41,161,FALSE,1,44.532888,51
220,"""sparse""",1,41,161,FALSE,1,44.532888,41
221,"""sparse""",1,41,201,FALSE,1,44.532888,62
222,"""sparse""",1,41,201,FALSE,1,44.532888,42
223,"""sparse""",1,41,201,FALSE,1,44.532888,46
224,"""sparse""",1,41,201,FALSE,1,44.532888,59
225,"""sparse""",1,41,201,FALSE,1,44.532888,36
226,"""sparse""",1,41,201,FALSE,1,44.532888,42
227,"""sparse""",1,41,201,FALSE,1,44.532888,51
228,"""sparse""",1,41,201,FALSE,1,44.532888,63
229,"""sparse""",1,41,201,FALSE,1,44.532888,50
230,"""sparse""",1,41,201,FALSE,1,44.532888,47
231,"""sparse""",1,41,201,FALSE,1,44.532888,43
232,"""sparse""",1,41,201,FALSE,1,44.532888,46
233,"""sparse""",1,41,201,FALSE,1,44.532888,55
234,"""sparse""",1,41,201,FALSE,1,44.532888,53
235,"""sparse""",1,41,201,FALSE,1,44.532888,57
236,"""sparse""",1,41,201,FALSE,1,44.532888,50
237,"""sparse""",1,41,201,FALSE,1,44.532888,43
238,"""sparse""",1,41,201,FALSE,1,44.532888,49
239,"""sparse""",1,41,201,FALSE,1,44.532888,44
240,"""sparse""",1,41,201,FALSE,1,44.532888,36
241,"""sparse""",1,81,1,FALSE,1,44.532888,52
242,"""sparse""",1,81,1,FALSE,1,44.532888,38
243,"""sparse""",1,81,1,FALSE,1,44.532888,40
244,"""sparse""",1,81,1,FALSE,1,44.532888,36
245,"""sparse""",1,81,1,FALSE,1,44.532888,47
246,"""sparse""",1,81,1,FALSE,1,44.532888,41
247,"""sparse""",1,81,1,FALSE,1,44.532888,49
248,"""sparse""",1,81,1,FALSE,1,44.532888,36
249,"""sparse""",1,81,1,FALSE,1,44.532888,54
250,"""sparse""",1,81,1,FALSE,1,44.532888,47
251,"""sparse""",1,81,1,FALSE,1,44.532888,50
252,"""sparse""",1,81,1,FALSE,1,44.532888,54
253,"""sparse""",1,81,1,FALSE,1,44.532888,50
