BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,
04/19/2016 15:36:54:726 -0700,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,R,loop-num,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,count patches with [resource?],count patches with [resource? and quantity = 50],count patches with [resource? and quantity != 50],count patches with [resource? and quantity = 0],max [dist-hive-max] of turtles,foraged-count,dance-quality,dance-quantity,random-quality,random-quantity
31,"""extra_sparse""","""0.4""",FALSE,3000,1,0.379521097,16,0.009678106,69653.33,TRUE,FALSE,262.83,2337.743,55,38,17,5,952.7624619,342,0,0,12126.78,60
32,"""extra_sparse""","""0.4""",FALSE,3000,2,0.41615352,112,0.011517699,82892.88,TRUE,FALSE,274.442,2347.709,67,44,23,6,948.5604872,539,0,0,13168.61,91
33,"""extra_sparse""","""0.4""",FALSE,3000,3,0.403586066,39,0.004100899,29514.17,TRUE,FALSE,260.009,2246.306,55,43,12,3,911.6333999,217,0,0,5103.29,43
34,"""extra_sparse""","""0.4""",FALSE,3000,4,0.429066532,136,0.008680407,62472.89,TRUE,FALSE,259.397,2302.385,63,46,17,4,898.2303848,373,0,0,8455.02,50
35,"""extra_sparse""","""0.4""",FALSE,3000,5,0.424702887,247,0.012183736,87686.35,TRUE,FALSE,235.473,2227.067,59,37,22,8,969.2458491,528,0,0,12615.58,75
36,"""extra_sparse""","""0.4""",FALSE,3000,6,0.391664506,97,0.013573677,97689.75,TRUE,FALSE,266.644,2396.012,53,34,19,9,862.5763542,614,0,0,14914.2,104
37,"""extra_sparse""","""0.4""",FALSE,3000,7,0.424709367,198,0.008662665,62345.2,TRUE,FALSE,289.076,2210.884,59,40,19,5,811.9252239,415,0,0,8286.3,57
38,"""extra_sparse""","""0.4""",FALSE,3000,8,0.409192009,13,0.011524846,82944.32,TRUE,FALSE,216.777,2195.082,55,34,21,4,809.8130947,429,0,0,11894.08,63
39,"""extra_sparse""","""0.4""",FALSE,3000,9,0.413771992,16,0.015033114,108193.32,TRUE,FALSE,234.713,2122.089,68,50,18,9,1053.939896,588,0,0,15298.25,82
40,"""extra_sparse""","""0.4""",FALSE,3000,10,0.417089032,3,0.020049173,144293.9,TRUE,FALSE,259.168,2077.054,71,48,23,13,860.5063099,736,0,0,24608.54,125
41,"""extra_sparse""","""0.6""",TRUE,500,1,0.612708675,2,0.012258966,14704.63,FALSE,TRUE,81.955,1535.133,64,56,8,1,764.8602315,197,13028.8,164,872.85,12
42,"""extra_sparse""","""0.6""",TRUE,500,2,0.59860428,11,0.012981867,15571.75,FALSE,TRUE,231.296,1622.015,46,42,4,0,836.6824589,73,14809.47,68,814.66,4
43,"""extra_sparse""","""0.6""",TRUE,500,3,0.62872008,2,0.07856095,94233.86,FALSE,TRUE,61.677,1420.141,62,48,14,9,741.3519411,527,77661.15,423,8647.17,50
44,"""extra_sparse""","""0.6""",TRUE,500,4,0.579961024,26,0.02327113,27913.72,FALSE,TRUE,655.346,2140.995,46,41,5,2,761.7366639,145,25993.45,133,1774.8,9
45,"""extra_sparse""","""0.6""",TRUE,500,5,0.62142919,10,0.051747545,62071.18,FALSE,TRUE,220.688,1623.642,50,35,15,10,757.6647203,534,51148.92,423,7605.4,75
46,"""extra_sparse""","""0.6""",TRUE,500,6,0.60057871,17,0.030189145,36211.88,FALSE,TRUE,396.828,1761.615,50,41,9,3,745.4334875,252,32202.55,213,2059.93,20
47,"""extra_sparse""","""0.6""",TRUE,500,7,0.587076978,2,0.062085519,74471.58,FALSE,TRUE,67.413,1502.985,51,38,13,10,724.8562705,568,62402.98,459,9851.57,71
48,"""extra_sparse""","""0.6""",TRUE,500,8,0.572022451,6,0.004962759,5952.83,FALSE,TRUE,140.993,1571.193,49,44,5,0,700.9587169,47,5824.81,45,587.72,5
49,"""extra_sparse""","""0.6""",TRUE,500,9,0.604586312,4,0.041593939,49891.93,FALSE,TRUE,102.762,1501.789,51,41,10,3,966.1006862,285,42955.71,242,4038.36,25
50,"""extra_sparse""","""0.6""",TRUE,500,10,0.572860167,4,0.012438641,14920.15,FALSE,TRUE,128.576,1723.017,63,55,8,2,861.6100041,126,13133.7,108,1501.32,13
51,"""extra_sparse""","""0.6""",TRUE,3000,1,0.612708675,2,0.007168427,51591.17,TRUE,FALSE,213.765,2265.842,64,42,22,6,899.1970503,496,49513.82,460,6982.78,73
52,"""extra_sparse""","""0.6""",TRUE,3000,2,0.59860428,11,0.00790015,56857.38,TRUE,FALSE,298.917,2360.399,46,36,10,5,918.4565588,298,56205.65,287,7855.61,43
53,"""extra_sparse""","""0.6""",TRUE,3000,3,0.62872008,2,0.018910874,136101.56,TRUE,FALSE,298.613,2429.415,62,35,27,13,1054.98945,799,121775.05,698,20256.08,120
54,"""extra_sparse""","""0.6""",TRUE,3000,4,0.579961024,26,0.011545884,83095.73,TRUE,FALSE,255.167,2448.786,46,32,14,8,895.3623525,514,80826.26,476,10404.43,65
55,"""extra_sparse""","""0.6""",TRUE,3000,5,0.62142919,10,0.012934054,93086.39,TRUE,FALSE,257.748,2385.286,50,27,23,12,947.5460723,800,82292.19,677,15583.22,143
56,"""extra_sparse""","""0.6""",TRUE,3000,6,0.60057871,17,0.010807774,77783.55,TRUE,FALSE,289.344,2312.208,50,35,15,9,861.3490726,484,75240.54,425,8216.53,72
57,"""extra_sparse""","""0.6""",TRUE,3000,7,0.587076978,2,0.017895283,128792.35,TRUE,FALSE,268.093,2388.459,51,27,24,15,1022.033056,801,113703.63,703,28187.29,175
58,"""extra_sparse""","""0.6""",TRUE,3000,8,0.572022451,6,0.008550372,61537.03,TRUE,FALSE,231.361,2409.835,49,27,22,10,959.0180493,606,58225.9,542,7914.01,90
59,"""extra_sparse""","""0.6""",TRUE,3000,9,0.604586312,4,0.011067146,79650.25,TRUE,FALSE,241.738,2340.329,51,30,21,9,869.9627895,591,74814.68,526,12097.64,98
60,"""extra_sparse""","""0.6""",TRUE,3000,10,0.572860167,4,0.011814375,85028.06,TRUE,FALSE,290.455,2347.075,63,43,20,8,885.6363101,572,81717.03,522,9118.46,78
61,"""extra_sparse""","""0.6""",FALSE,500,1,0.612708675,2,0.008610888,10328.76,TRUE,FALSE,242.11,2387.332,64,57,7,1,743.9295706,114,0,0,1012.5,12
62,"""extra_sparse""","""0.6""",FALSE,500,2,0.59860428,11,0.009877065,11847.54,TRUE,FALSE,249.978,2459.893,46,40,6,0,780.0559787,62,0,0,1512.95,8
63,"""extra_sparse""","""0.6""",FALSE,500,3,0.62872008,2,0.03303173,39621.56,TRUE,FALSE,245.264,2317.064,62,52,10,3,759.6412397,260,0,0,3642.69,23
64,"""extra_sparse""","""0.6""",FALSE,500,4,0.579961024,26,0.012589004,15100.51,TRUE,FALSE,314.136,2337.711,46,40,6,0,948.0706512,89,0,0,1885.37,10
65,"""extra_sparse""","""0.6""",FALSE,500,5,0.62142919,10,0.046246228,55472.35,TRUE,FALSE,267.745,2360.836,50,34,16,6,805.5988582,401,0,0,5859.72,45
66,"""extra_sparse""","""0.6""",FALSE,500,6,0.60057871,17,0.017483852,20971.88,TRUE,FALSE,229.94,2394.93,50,43,7,0,851.7522675,116,0,0,1978.48,10
67,"""extra_sparse""","""0.6""",FALSE,500,7,0.587076978,2,0.02405218,28850.59,TRUE,FALSE,259.301,2345.435,51,38,13,3,991.2888968,287,0,0,2909.5,30
68,"""extra_sparse""","""0.6""",FALSE,500,8,0.572022451,6,9.12E-04,1094,TRUE,FALSE,285.066,2298.886,49,46,3,0,834.4957556,19,0,0,151.3,3
69,"""extra_sparse""","""0.6""",FALSE,500,9,0.604586312,4,0.027554748,33051.92,TRUE,FALSE,260.503,2358.763,51,43,8,3,755.6387037,230,0,0,4503.88,33
70,"""extra_sparse""","""0.6""",FALSE,500,10,0.572860167,4,0.026376307,31638.38,TRUE,FALSE,252.309,2428.994,63,55,8,2,832.6501086,194,0,0,2478.93,16
71,"""extra_sparse""","""0.6""",FALSE,3000,1,0.612708675,2,0.007026899,50572.59,TRUE,FALSE,254.952,2344.591,64,44,20,7,1054.404778,519,0,0,7227.14,73
72,"""extra_sparse""","""0.6""",FALSE,3000,2,0.59860428,11,0.003809019,27413.51,TRUE,FALSE,257.962,2361.851,46,37,9,2,860.3315893,175,0,0,3933.68,24
73,"""extra_sparse""","""0.6""",FALSE,3000,3,0.62872008,2,0.012324499,88699.42,TRUE,FALSE,270.774,2436.176,62,37,25,6,913.8969768,561,0,0,12132.64,79
74,"""extra_sparse""","""0.6""",FALSE,3000,4,0.579961024,26,0.00897232,64573.79,TRUE,FALSE,302.521,2467.116,46,28,18,5,875.2422522,419,0,0,8373.58,53
75,"""extra_sparse""","""0.6""",FALSE,3000,5,0.62142919,10,0.011238561,80883.92,TRUE,FALSE,256.518,2341.611,50,29,21,12,874.4300622,738,0,0,14803.53,135
76,"""extra_sparse""","""0.6""",FALSE,3000,6,0.60057871,17,0.009676557,69642.18,TRUE,FALSE,261.565,2304.886,50,34,16,4,838.8622563,394,0,0,10043.63,63
77,"""extra_sparse""","""0.6""",FALSE,3000,7,0.587076978,2,0.014805076,106552.13,TRUE,FALSE,256.014,2336.116,51,29,22,10,803.6660237,697,0,0,16153.55,120
78,"""extra_sparse""","""0.6""",FALSE,3000,8,0.572022451,6,0.005496507,39558.36,TRUE,FALSE,268.008,2335.811,49,29,20,6,818.0782702,467,0,0,5301.19,57
79,"""extra_sparse""","""0.6""",FALSE,3000,9,0.604586312,4,0.010057299,72382.38,TRUE,FALSE,245.368,2217.782,51,34,17,7,819.2322951,494,0,0,11614.69,79
80,"""extra_sparse""","""0.6""",FALSE,3000,10,0.572860167,4,0.010701024,77015.27,TRUE,FALSE,256.684,2140.714,63,45,18,7,1033.989522,550,0,0,8844.96,64
81,"""extra_sparse""","""0.8""",TRUE,500,1,0.829432491,5,0.030824669,36974.19,FALSE,TRUE,143.141,1537.383,45,39,6,2,886.5993822,163,32906.66,144,1867.9,9
82,"""extra_sparse""","""0.8""",TRUE,500,2,0.791719718,15,0.034821842,41768.8,FALSE,TRUE,305.861,1672.716,44,38,6,3,726.2657832,196,35071.12,164,5033.42,24
83,"""extra_sparse""","""0.8""",TRUE,500,3,0.780062619,1,0.026429412,31702.08,FALSE,TRUE,49.054,1493.157,52,47,5,3,740.8037794,160,28658.73,143,2257.79,15
84,"""extra_sparse""","""0.8""",TRUE,500,4,0.773591942,1,0.038717424,46441.55,FALSE,TRUE,44.297,1447.293,43,33,10,4,767.5190721,239,40442.14,209,3235.37,18
85,"""extra_sparse""","""0.8""",TRUE,500,5,0.772248768,19,0.013044894,15647.35,FALSE,TRUE,377.8,1756.025,42,36,6,0,715.312308,77,14879.24,72,1268.55,7
86,"""extra_sparse""","""0.8""",TRUE,500,6,0.781855324,3,0.025701626,30829.1,FALSE,TRUE,98.076,1561.708,47,39,8,3,777.1606037,247,25376.71,194,4026.74,29
87,"""extra_sparse""","""0.8""",TRUE,500,7,0.802171781,4,0.023921251,28693.54,FALSE,TRUE,99.909,1486.13,56,46,10,2,829.6063234,227,25830.6,194,6098.39,30
88,"""extra_sparse""","""0.8""",TRUE,500,8,0.819676448,4,0.020714689,24847.27,FALSE,TRUE,101.629,1612.33,54,45,9,4,852.0658778,247,21460.59,203,2874.62,27
89,"""extra_sparse""","""0.8""",TRUE,500,9,0.81713924,5,0.01700847,20401.66,FALSE,TRUE,120.908,1625.294,46,38,8,2,757.5415983,188,17492.15,163,2554.6,27
90,"""extra_sparse""","""0.8""",TRUE,500,10,0.796606483,2,0.035064502,42059.87,FALSE,TRUE,75.353,1690.933,50,43,7,4,838.4259622,205,34291.51,162,2106.47,13
91,"""extra_sparse""","""0.8""",TRUE,3000,1,0.829432491,5,0.009445331,67978.05,TRUE,FALSE,262.606,2280.427,45,30,15,6,923.4900157,451,64701.9,408,6336.91,42
92,"""extra_sparse""","""0.8""",TRUE,3000,2,0.791719718,15,0.008710299,62688.02,TRUE,FALSE,216.462,2293.672,44,29,15,6,884.5637592,385,60994.73,357,10642.93,63
93,"""extra_sparse""","""0.8""",TRUE,3000,3,0.780062619,1,0.007956817,57265.21,TRUE,FALSE,221.754,2351.826,52,41,11,4,842.8604658,298,56636.75,286,6691.91,40
94,"""extra_sparse""","""0.8""",TRUE,3000,4,0.773591942,1,0.008096606,58271.27,TRUE,FALSE,260.825,2477.505,43,27,16,7,1003.996633,422,56932.95,394,6348.5,51
95,"""extra_sparse""","""0.8""",TRUE,3000,5,0.772248768,19,0.005219949,37567.97,TRUE,FALSE,240.687,2446.898,42,26,16,2,1034.134212,252,36887.11,237,3427.43,23
96,"""extra_sparse""","""0.8""",TRUE,3000,6,0.781855324,3,0.00969103,69746.34,TRUE,FALSE,263.504,2555.394,47,29,18,7,826.4570693,532,66674,472,9450.02,80
97,"""extra_sparse""","""0.8""",TRUE,3000,7,0.802171781,4,0.012946279,93174.37,TRUE,FALSE,245.358,2467.565,56,35,21,11,852.308788,639,87803.41,568,18202.04,101
98,"""extra_sparse""","""0.8""",TRUE,3000,8,0.819676448,4,0.012435247,89496.47,TRUE,FALSE,232.123,2581.015,54,34,20,13,975.5438892,701,79982.36,615,12592.37,110
99,"""extra_sparse""","""0.8""",TRUE,3000,9,0.81713924,5,0.009391974,67594.04,TRUE,FALSE,242.106,2454.069,46,31,15,10,875.1473132,564,64870.76,513,13442.05,114
100,"""extra_sparse""","""0.8""",TRUE,3000,10,0.796606483,2,0.008928619,64259.27,TRUE,FALSE,261.073,2509.138,50,37,13,5,942.9535903,391,61989.92,356,6616.19,45
101,"""extra_sparse""","""0.8""",FALSE,500,1,0.829432491,5,0.015058199,18062.31,TRUE,FALSE,220.628,2428.447,45,38,7,0,833.6345106,103,0,0,1833,11
102,"""extra_sparse""","""0.8""",FALSE,500,2,0.791719718,15,0.01994807,23927.71,TRUE,FALSE,273.331,2487.06,44,39,5,1,806.9730759,113,0,0,2537.08,12
103,"""extra_sparse""","""0.8""",FALSE,500,3,0.780062619,1,0.015189337,18219.61,TRUE,FALSE,243.993,2400.327,52,47,5,2,815.1943304,127,0,0,1972.67,12
104,"""extra_sparse""","""0.8""",FALSE,500,4,0.773591942,1,0.005850446,7017.61,TRUE,FALSE,234.121,2311.639,43,41,2,0,700.9433653,50,0,0,482.97,3
105,"""extra_sparse""","""0.8""",FALSE,500,5,0.772248768,19,0.005506103,6604.57,TRUE,FALSE,241.802,2284.165,42,37,5,0,675.9169918,31,0,0,907.77,5
106,"""extra_sparse""","""0.8""",FALSE,500,6,0.781855324,3,0.012846103,15408.9,TRUE,FALSE,275.245,2440.884,47,39,8,2,1012.62535,130,0,0,1850.46,16
107,"""extra_sparse""","""0.8""",FALSE,500,7,0.802171781,4,0.009290004,11143.36,TRUE,FALSE,234.263,2353.062,56,49,7,0,726.210316,88,0,0,1559.49,11
108,"""extra_sparse""","""0.8""",FALSE,500,8,0.819676448,4,0.026904769,32272.27,TRUE,FALSE,242.136,2421.484,54,45,9,3,624.3590362,301,0,0,2414.9,24
109,"""extra_sparse""","""0.8""",FALSE,500,9,0.81713924,5,0.014742935,17684.15,TRUE,FALSE,259.133,2438.603,46,37,9,3,759.5520044,217,0,0,1995.95,22
110,"""extra_sparse""","""0.8""",FALSE,500,10,0.796606483,2,0.016998616,20389.84,TRUE,FALSE,233.035,2484.038,50,46,4,1,747.9895191,86,0,0,1629.32,7
111,"""extra_sparse""","""0.8""",FALSE,3000,1,0.829432491,5,0.010346007,74460.21,TRUE,FALSE,262.272,2368.317,45,28,17,5,890.0127834,469,0,0,8070.99,51
112,"""extra_sparse""","""0.8""",FALSE,3000,2,0.791719718,15,0.008735391,62868.61,TRUE,FALSE,260.173,2425.771,44,28,16,4,904.8330891,378,0,0,8594.69,50
113,"""extra_sparse""","""0.8""",FALSE,3000,3,0.780062619,1,0.004695177,33791.19,TRUE,FALSE,232.267,2377.582,52,38,14,3,893.6758371,260,0,0,4946.2,38
114,"""extra_sparse""","""0.8""",FALSE,3000,4,0.773591942,1,0.008128165,58498.4,TRUE,FALSE,298.701,2465.951,43,27,16,6,861.9733151,385,0,0,7518.14,53
