BehaviorSpace results (NetLogo 5.3),,,,,
Bees.nlogo,,,,,
setup-time,,,,,
02/10/2016 12:37:49:879 -0800,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,
-500,500,-500,500,,
[run number],patchiness,calc_R,[step],timer,
1,1,TRUE,1,11456.118,190.9353
2,1,FALSE,1,8.756,
3,2,TRUE,1,29815.744,496.9290667
4,2,FALSE,1,14.58,
