BehaviorSpace results (NetLogo 5.3),,,,,,,,,,,,,,,,,,,,,,,
Bees.nlogo,,,,,,,,,,,,,,,,,,,,,,,
Simulation Run,,,,,,,,,,,,,,,,,,,,,,,
04/08/2016 17:12:08:654 -0700,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
-750,750,-750,750,,,,,,,,,,,,,,,,,,,,
[run number],resource_density,R_value,communication?,population,repetitions,R,loop-num,nectar-influx,hive-collected,imported,exported,timer-post-setup,timer,resources,resources.untouched,resources.found,resources.depleted,max [dist-hive-max] of turtles,foraged-count,dance-quality,dance-quantity,random-quality,random-quantity
31,"""dense""","""0.4""",FALSE,3000,1,0.390051339,1,0.199273178,1434169.06,TRUE,FALSE,220.305,2135.51,3323,2988,335,152,406.7566721,9876,0,0,276892.79,1911
32,"""dense""","""0.4""",FALSE,3000,2,0.404141609,1,0.207635927,1494355.77,TRUE,FALSE,214.547,2146.586,3180,2851,329,132,486.642121,9209,0,0,286969.94,1711
33,"""dense""","""0.4""",FALSE,3000,3,0.3976774,1,0.192981745,1388889.62,TRUE,FALSE,223.152,2142.417,3139,2833,306,138,517.1072469,9178,0,0,272533.55,1859
34,"""dense""","""0.4""",FALSE,3000,4,0.408533056,1,0.185256048,1333287.78,TRUE,FALSE,217.163,2148.886,3173,2857,316,143,479.6997694,9249,0,0,254616.87,1823
35,"""dense""","""0.4""",FALSE,3000,5,0.416171535,1,0.197960611,1424722.52,TRUE,FALSE,220.582,2133.934,3190,2865,325,146,510.884058,9591,0,0,295937.92,1940
36,"""dense""","""0.4""",FALSE,3000,6,0.421280332,1,0.183041408,1317349.01,TRUE,FALSE,215.608,2154.767,3226,2911,315,146,424.2596872,9448,0,0,262181.41,1883
37,"""dense""","""0.4""",FALSE,3000,7,0.394800892,1,0.175160128,1260627.44,TRUE,FALSE,217.336,2138.452,3140,2841,299,123,526.1368643,8425,0,0,233370.54,1589
38,"""dense""","""0.4""",FALSE,3000,8,0.422445432,1,0.188436783,1356179.53,TRUE,FALSE,213.397,2127.609,3166,2839,327,155,525.906717,10037,0,0,286429.02,2121
39,"""dense""","""0.4""",FALSE,3000,9,0.414376727,1,0.195765586,1408924.92,TRUE,FALSE,218.838,2063.618,3168,2867,301,147,497.7569688,9120,0,0,317833.54,2011
40,"""dense""","""0.4""",FALSE,3000,10,0.394259285,1,0.176763593,1272167.58,TRUE,FALSE,213.064,2059.458,3188,2889,299,132,528.6984017,8970,0,0,244742.56,1731
41,"""dense""","""0.6""",TRUE,500,1,0.621021871,1,0.528193155,633567.69,FALSE,TRUE,49.295,1449.462,3110,2955,155,52,351.0911563,3845,561091.93,3388,86144.78,531
42,"""dense""","""0.6""",TRUE,500,2,0.628568777,1,0.442294314,530532.03,FALSE,TRUE,48.783,1459.322,3140,2999,141,48,327.3790421,3535,463345.54,3044,81937.59,527
43,"""dense""","""0.6""",TRUE,500,3,0.594911406,1,0.359386453,431084.05,FALSE,TRUE,55.429,1467.556,3154,3026,128,39,404.3590221,3020,374953.91,2592,56432.7,400
44,"""dense""","""0.6""",TRUE,500,4,0.573485052,3,0.408865519,490434.19,FALSE,TRUE,105.053,1524.887,3263,3124,139,47,360.7536478,3362,424766.31,2879,74023.99,508
45,"""dense""","""0.6""",TRUE,500,5,0.594215145,1,0.391477832,469577.66,FALSE,TRUE,48.649,1462.622,3260,3139,121,44,302.7054436,3241,407296.56,2796,54925.78,421
46,"""dense""","""0.6""",TRUE,500,6,0.586979065,1,0.501240859,601238.41,FALSE,TRUE,47.902,1450.75,3193,3045,148,54,371.9811823,3990,526824.79,3483,85731.55,571
47,"""dense""","""0.6""",TRUE,500,7,0.614592828,1,0.421709479,505840.52,FALSE,TRUE,55.345,1462.366,3185,3049,136,47,301.2516468,3415,442902.19,2947,64084.81,490
48,"""dense""","""0.6""",TRUE,500,8,0.612906381,1,0.485609721,582488.86,FALSE,TRUE,48.728,1494.642,3188,3031,157,51,382.0274859,3780,515296.7,3310,82245.88,545
49,"""dense""","""0.6""",TRUE,500,9,0.571748898,1,0.538466653,645890.75,FALSE,TRUE,49.6,1518.251,3279,3116,163,55,344.654027,3823,576301.49,3392,88023.98,530
50,"""dense""","""0.6""",TRUE,500,10,0.605057724,1,0.541355098,649355.44,FALSE,TRUE,48.677,1520.416,3225,3063,162,51,312.8068846,4125,575000.1,3645,88134.7,559
51,"""dense""","""0.6""",TRUE,3000,1,0.621021871,1,0.29179111,2100020.62,TRUE,FALSE,203.308,2173.316,3110,2653,457,218,514.4887904,13619,1775109.48,11393,553348.71,3659
52,"""dense""","""0.6""",TRUE,3000,2,0.628568777,1,0.283152044,2037845.26,TRUE,FALSE,203.831,2187.104,3140,2664,476,220,478.1550289,13673,1715053.55,11341,537996.49,3688
53,"""dense""","""0.6""",TRUE,3000,3,0.594911406,1,0.253834195,1826844.7,TRUE,FALSE,221.88,2189.608,3154,2703,451,212,522.6339845,13152,1522393.95,10881,452637.81,3384
54,"""dense""","""0.6""",TRUE,3000,4,0.573485052,3,0.288036396,2072997.94,TRUE,FALSE,223.158,2203.929,3263,2795,468,230,456.3846835,13921,1743065.15,11526,576851.41,3941
55,"""dense""","""0.6""",TRUE,3000,5,0.594215145,1,0.254666123,1832832.09,TRUE,FALSE,205.335,2186.564,3260,2796,464,218,510.6540063,13412,1546146.79,11157,459923.31,3612
56,"""dense""","""0.6""",TRUE,3000,6,0.586979065,1,0.277985918,2000664.65,TRUE,FALSE,212.497,2207.725,3193,2692,501,230,598.5323717,14123,1671488.76,11655,542280.05,4009
57,"""dense""","""0.6""",TRUE,3000,7,0.614592828,1,0.256304983,1844626.96,TRUE,FALSE,217.79,2188.672,3185,2745,440,221,597.4177336,13343,1543167.13,11071,482617.11,3672
58,"""dense""","""0.6""",TRUE,3000,8,0.612906381,1,0.311541779,2242166.18,TRUE,FALSE,217.901,2192.052,3188,2712,476,240,640.019531,14322,1894573.03,11970,608937.1,3977
59,"""dense""","""0.6""",TRUE,3000,9,0.571748898,1,0.302603133,2177834.75,TRUE,FALSE,206.921,2184.909,3279,2792,487,228,541.6350985,14237,1836066.76,11889,574854.65,3830
60,"""dense""","""0.6""",TRUE,3000,10,0.605057724,1,0.31469044,2264827.1,TRUE,FALSE,204.373,2197.099,3225,2723,502,237,519.0145165,14420,1904775.02,12022,616874.41,4024
61,"""dense""","""0.6""",FALSE,500,1,0.621021871,1,0.316531105,379679.06,TRUE,FALSE,215.899,2119.084,3110,3011,99,33,280.4502425,2467,0,0,38876.75,267
62,"""dense""","""0.6""",FALSE,500,2,0.628568777,1,0.269368762,323107.83,TRUE,FALSE,216.059,2125.754,3140,3040,100,32,442.8491423,2515,0,0,39901.11,301
63,"""dense""","""0.6""",FALSE,500,3,0.594911406,1,0.304213472,364904.06,TRUE,FALSE,206.405,2119.501,3154,3052,102,30,409.0737935,2503,0,0,36974,259
64,"""dense""","""0.6""",FALSE,500,4,0.573485052,3,0.293300567,351814.03,TRUE,FALSE,208.819,2128.644,3263,3163,100,30,296.0665934,2419,0,0,45382.87,307
65,"""dense""","""0.6""",FALSE,500,5,0.594215145,1,0.259942501,311801.03,TRUE,FALSE,220.444,2122.654,3260,3178,82,25,265.8721497,2234,0,0,33057.94,239
66,"""dense""","""0.6""",FALSE,500,6,0.586979065,1,0.314978266,377816.43,TRUE,FALSE,212.13,2114.668,3193,3093,100,29,298.0218376,2706,0,0,37963.22,274
67,"""dense""","""0.6""",FALSE,500,7,0.614592828,1,0.273141384,327633.09,TRUE,FALSE,202.918,2116.496,3185,3081,104,27,299.0316441,2491,0,0,37357.98,289
68,"""dense""","""0.6""",FALSE,500,8,0.612906381,1,0.306062426,367121.88,TRUE,FALSE,204.699,2123.637,3188,3094,94,25,290.299845,2431,0,0,34047.12,238
69,"""dense""","""0.6""",FALSE,500,9,0.571748898,1,0.370722259,444681.35,TRUE,FALSE,218.554,2129.958,3279,3181,98,29,314.8031131,2626,0,0,46004.96,272
70,"""dense""","""0.6""",FALSE,500,10,0.605057724,1,0.318350646,381861.6,TRUE,FALSE,218.042,2126.071,3225,3126,99,26,243.9491619,2597,0,0,39528.51,274
71,"""dense""","""0.6""",FALSE,3000,1,0.621021871,1,0.190286062,1369488.79,TRUE,FALSE,199.95,2151.824,3110,2804,306,133,533.6855503,8883,0,0,256694.35,1698
